M,N,K,Raster,Swizzle,Decomposition,Splits,AvgRuntime_ms,TFLOPS,WorktileCount
128,128,128,Heuristic,1,Heuristic,1,0.00600896,0.698008,1
128,128,128,Heuristic,2,Heuristic,1,0.0058752,0.7139,1
128,128,128,Heuristic,4,Heuristic,1,0.00603488,0.69501,1
128,128,128,Heuristic,8,Heuristic,1,0.00579776,0.723435,1
128,128,128,Along N,1,Heuristic,1,0.00603168,0.695379,1
128,128,128,Along N,2,Heuristic,1,0.00582144,0.720492,1
128,128,128,Along N,4,Heuristic,1,0.00598912,0.700321,1
128,128,128,Along N,8,Heuristic,1,0.00581248,0.721603,1
128,128,128,Along M,1,Heuristic,1,0.0058016,0.722956,1
128,128,128,Along M,2,Heuristic,1,0.00602016,0.69671,1
128,128,128,Along M,4,Heuristic,1,0.00600928,0.697971,1
128,128,128,Along M,8,Heuristic,1,0.00583264,0.719109,1
128,128,128,Heuristic,1,StreamK,1,0.00581088,0.721802,1
128,128,128,Heuristic,2,StreamK,1,0.00603168,0.695379,1
128,128,128,Heuristic,4,StreamK,1,0.00601152,0.697711,1
128,128,128,Heuristic,8,StreamK,1,0.0058416,0.718006,1
128,128,128,Along N,1,StreamK,1,0.00603776,0.694679,1
128,128,128,Along N,2,StreamK,1,0.00581056,0.721842,1
128,128,128,Along N,4,StreamK,1,0.00603392,0.695121,1
128,128,128,Along N,8,StreamK,1,0.00601792,0.696969,1
128,128,128,Along M,1,StreamK,1,0.00604352,0.694017,1
128,128,128,Along M,2,StreamK,1,0.00602816,0.695785,1
128,128,128,Along M,4,StreamK,1,0.00602912,0.695674,1
128,128,128,Along M,8,StreamK,1,0.00600768,0.698157,1
128,128,128,Heuristic,1,SplitK,1,0.00585088,0.716867,1
128,128,128,Heuristic,1,SplitK,2,0.0098336,0.426528,1
128,128,128,Heuristic,1,SplitK,3,0.00967008,0.43374,1
128,128,128,Heuristic,1,SplitK,4,0.00970656,0.43211,1
128,128,128,Heuristic,2,SplitK,1,0.00599424,0.699722,1
